MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,Age,Remodeled,TotalBathrooms,OverallQualCond,TotalPorchSF,LotFrontageRatio,PricePerSF,TimeSinceRemodel
SC20,RL,70.0,11200.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,5.0,1965.0,1965.0,Hip,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,384.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Feb,2008.0,WD,Normal,129500.0,2080.0,43.0,0,2.0,10.0,0.0,0.00625,62.25961538461539,43.0
SC60,RL,85.0,11924.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.0,5.0,2005.0,2006.0,Hip,CompShg,WdShing,Wd Shng,BrkFace,0.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4.0,1.0,Ex,6.0,Typ,2.0,Gd,BuiltIn,1980.0,Fin,3.0,736.0,TA,TA,Y,147.0,21.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Jul,2006.0,New,Partial,163000.0,3499.0,1.0,1,4.0,14.0,21.0,0.007128480375712848,46.58473849671335,0.0
SC20,RL,0.0,12968.0,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1962.0,1962.0,Hip,CompShg,HdBoard,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,912.0,GasA,TA,Y,SBrkr,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,352.0,TA,TA,Y,140.0,0.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Sep,2008.0,WD,Normal,144000.0,1824.0,46.0,0,2.0,11.0,0.0,0.0,78.94736842105263,46.0
SC20,RL,91.0,10652.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.0,5.0,2006.0,2007.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,3.0,840.0,TA,TA,Y,160.0,33.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Aug,2007.0,New,Partial,279500.0,2988.0,1.0,1,2.0,12.0,33.0,0.008542996620352985,93.54082998661312,0.0
SC20,RL,0.0,10920.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1960.0,1960.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,Typ,1.0,Fa,Attchd,1980.0,RFn,1.0,352.0,TA,TA,Y,0.0,25.0,0.0,0.0,0.0,0.0,No,GdWo,No,0.0,May,2008.0,WD,Normal,157000.0,2506.0,48.0,0,2.5,11.0,25.0,0.0,62.64964086193137,48.0
SC45,RM,51.0,6120.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7.0,5.0,1929.0,2001.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Ex,Y,SBrkr,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,No,Detchd,1980.0,Unf,2.0,576.0,TA,TA,Y,48.0,25.0,0.0,0.0,0.0,0.0,No,GdPrv,No,0.0,Jul,2007.0,WD,Normal,132000.0,1686.0,78.0,1,1.0,12.0,25.0,0.008333333333333333,78.29181494661921,6.0
SC20,RL,0.0,11241.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,7.0,1970.0,1970.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,1.0,TA,Attchd,1980.0,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No,No,Shed,0.0,Mar,2010.0,WD,Normal,149000.0,2008.0,40.0,0,2.0,13.0,0.0,0.0,74.20318725099601,40.0
SC90,RL,72.0,10791.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4.0,5.0,1967.0,1967.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,Slab,No,No,No,No,0.0,No,0.0,0.0,991.5,GasA,TA,Y,SBrkr,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,6.0,Typ,0.0,No,CarPort,1980.0,Unf,2.0,516.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No,No,Shed,0.0,Oct,2006.0,WD,Normal,90000.0,2287.5,39.0,0,2.0,9.0,0.0,0.006672226855713094,39.34426229508197,39.0
SC20,RL,66.0,13695.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5.0,5.0,2004.0,2004.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,1114.0,GasA,Ex,Y,SBrkr,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,No,Detchd,1980.0,Unf,2.0,576.0,TA,TA,Y,0.0,25.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Jun,2008.0,WD,Normal,159000.0,2228.0,4.0,0,2.5,10.0,25.0,0.004819277108433735,71.36445242369838,4.0
SC20,RL,70.0,7560.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1958.0,1965.0,Hip,CompShg,BrkFace,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,1029.0,GasA,TA,Y,SBrkr,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Min1,0.0,No,Attchd,1980.0,Unf,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No,MnPrv,No,0.0,May,2009.0,COD,Abnorml,139000.0,2368.0,51.0,1,1.0,11.0,0.0,0.009259259259259259,58.69932432432432,44.0
SC60,RL,101.0,14215.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2005.0,2006.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Gd,BuiltIn,1980.0,RFn,3.0,853.0,TA,TA,Y,240.0,25.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Nov,2006.0,New,Partial,325300.0,3534.0,1.0,1,3.5,13.0,25.0,0.00710517059444249,92.0486700622524,0.0
SC45,RM,57.0,7449.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7.0,7.0,1930.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637.0,637.0,GasA,Ex,Y,SBrkr,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,1980.0,Unf,1.0,280.0,TA,TA,N,0.0,0.0,0.0,0.0,0.0,0.0,No,GdPrv,No,0.0,Jun,2007.0,WD,Normal,139400.0,1745.0,77.0,1,1.0,14.0,0.0,0.0076520338300443014,79.88538681948424,57.0
SC20,RL,75.0,9742.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2002.0,2002.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,477.5,1777.0,GasA,Ex,Y,SBrkr,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,2.0,534.0,TA,TA,Y,171.0,25.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Sep,2008.0,WD,Normal,230000.0,3572.0,6.0,0,2.0,13.0,25.0,0.0076986245124204475,64.38969764837626,6.0
SC120,RM,44.0,4224.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5.0,7.0,1976.0,1976.0,Gable,CompShg,CemntBd,CmentBd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200.0,1040.0,GasA,TA,Y,SBrkr,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1980.0,Unf,2.0,572.0,TA,TA,Y,100.0,25.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Jun,2007.0,WD,Normal,129900.0,2100.0,31.0,0,2.0,12.0,25.0,0.010416666666666666,61.857142857142854,31.0
SC20,RL,0.0,8246.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,5.0,1968.0,2001.0,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,0.0,204.0,1060.0,GasA,Ex,Y,SBrkr,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,1980.0,Unf,1.0,270.0,TA,TA,Y,0.0,90.0,0.0,0.0,0.0,0.0,No,MnPrv,No,0.0,May,2010.0,WD,Normal,154000.0,2120.0,42.0,1,2.0,10.0,90.0,0.0,72.64150943396227,9.0
SC20,RL,110.0,14230.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,476.75,1566.0,GasA,Ex,Y,SBrkr,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,3.0,890.0,TA,TA,Y,0.0,56.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Jul,2009.0,WD,Normal,256300.0,3166.0,2.0,0,2.0,13.0,56.0,0.007730147575544624,80.95388502842704,2.0
SC20,RL,60.0,7200.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1951.0,2000.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,0.0,180.0,900.0,GasA,TA,Y,SBrkr,900.0,0.0,0.0,900.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,5.0,Typ,0.0,No,Detchd,1980.0,Unf,2.0,576.0,TA,TA,Y,222.0,32.0,0.0,0.0,0.0,0.0,No,No,No,0.0,May,2010.0,WD,Normal,134800.0,1800.0,59.0,1,1.0,12.0,32.0,0.008333333333333333,74.88888888888889,10.0
SC20,RL,98.0,11478.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2008.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,3.0,772.0,TA,TA,Y,0.0,50.0,0.0,0.0,0.0,0.0,No,No,No,0.0,May,2010.0,WD,Normal,306000.0,3408.0,3.0,1,3.0,13.0,50.0,0.008538072834988674,89.78873239436619,2.0
SC20,RL,47.0,16321.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1957.0,1997.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207.0,1484.0,GasA,TA,Y,SBrkr,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,Typ,2.0,Gd,Attchd,1980.0,RFn,1.0,319.0,TA,TA,Y,288.0,25.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Dec,2006.0,WD,Normal,207500.0,3084.0,49.0,1,2.0,11.0,25.0,0.0028797255070155017,67.28274967574579,9.0
SC30,RM,60.0,6324.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4.0,6.0,1927.0,1950.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,520.0,GasA,Fa,N,SBrkr,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,Fa,4.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,240.0,Fa,TA,Y,49.0,0.0,0.0,0.0,0.0,0.0,No,No,No,0.0,May,2008.0,WD,Normal,68500.0,1040.0,81.0,1,1.0,10.0,0.0,0.009487666034155597,65.86538461538461,58.0
SC70,C (all),50.0,8500.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4.0,4.0,1920.0,1950.0,Gambrel,CompShg,BrkFace,BrkFace,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649.0,649.0,GasA,TA,N,SBrkr,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,250.0,TA,Fa,N,0.0,54.0,0.0,0.0,0.0,0.0,No,MnPrv,No,0.0,Jul,2008.0,WD,Normal,40000.0,1966.0,88.0,1,1.0,8.0,54.0,0.0058823529411764705,20.345879959308242,58.0
SC20,RL,0.0,8544.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1966.0,2006.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228.0,1228.0,GasA,Gd,Y,SBrkr,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,No,Attchd,1980.0,Unf,1.0,271.0,TA,TA,Y,0.0,65.0,0.0,0.0,0.0,0.0,No,MnPrv,No,0.0,Jun,2008.0,WD,Normal,149350.0,2456.0,42.0,1,1.5,11.0,65.0,0.0,60.81026058631922,2.0
SC20,RL,85.0,11049.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234.0,1234.0,GasA,Ex,Y,SBrkr,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,No,Attchd,1980.0,RFn,2.0,484.0,TA,TA,Y,0.0,30.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Jan,2008.0,WD,Normal,179900.0,2468.0,1.0,0,2.0,13.0,30.0,0.00769300389175491,72.89303079416531,1.0
SC20,RL,70.0,10552.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1959.0,1959.0,Hip,CompShg,BrkFace,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0.0,380.0,1398.0,GasA,Gd,Y,SBrkr,1700.0,0.0,0.0,1700.0,0.0,0.0,1.0,1.0,4.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,1980.0,RFn,2.0,447.0,TA,TA,Y,0.0,38.0,0.0,0.0,0.0,0.0,No,No,No,0.0,Apr,2010.0,WD,Normal,165500.0,3098.0,51.0,0,1.5,10.0,38.0,0.006633813495072024,53.42156229825694,51.0
